711	3101	10
1234	1696	4
294	281	2
698	4320	11
2396	602	14
1292	282	6
379	429	4
592	69	6
1757	2409	1
242	51	5
130	604	3
522	655	6
210	5016	5
304	3926	7
411	1743	1
52	2108	14
972	2462	0
126	2232	4
2008	506	18
630	90	1
430	162	3
1059	357	5
1772	3	9
1878	1592	0
740	654	2
925	242	21
995	2348	3
316	1328	12
1142	258	2
226	836	1
462	3712	1
348	1981	4
147	246	12
2750	1070	11
371	1613	4
761	507	9
1233	1071	4
204	1136	3
1077	209	3
771	2	1
99	2488	3
280	307	9
1011	523	13
720	972	1
700	1804	12
195	973	2
205	591	6
809	462	2
207	1592	0
1479	1329	1
2164	12	0
1472	761	11
923	623	3
669	566	5
619	225	4
1124	1457	5
450	199	1
256	370	1
1099	2023	6
782	64	12
2801	945	6
1201	1174	2
168	1059	2
2760	749	0
3005	904	5
546	264	2
308	397	1
1040	1320	14
442	2553	1
710	577	0
348	117	9
1784	128	12
123	1017	1
171	1706	5
384	62	17
163	2181	4
1517	46	0
2890	901	2
307	308	1
7	505	8
2080	1328	1
631	326	1
3312	1242	2
493	102	0
59	1407	8
1250	790	1
982	467	0
284	2883	5
33	2068	4
483	1632	4
1978	286	1
874	526	4
371	2747	4
674	17	7
681	1279	7
138	2113	1
581	413	4
278	1189	6
342	4646	3
33	1468	5
2234	227	14
330	1084	6
47	862	3
991	693	4
2278	2492	17
238	1154	0
2283	305	0
30	1781	1
366	2023	2
1300	99	3
47	152	6
791	160	8
234	1169	9
52	735	9
1320	867	2
853	1054	2
292	971	4
131	3344	6
867	4849	3
3463	545	11
1541	194	0
133	1007	3
2034	315	17
907	111	2
1296	26	9
397	859	0
282	797	2
2060	663	2
1195	6030	10
213	4533	2
1175	205	2
255	409	1
438	1228	0
277	244	8
350	63	7
598	108	0
1997	5433	13
1454	80	5
728	1467	1
1159	1460	0
2094	373	8
1896	1088	1
527	1023	1
752	49	4
353	901	1
5	39	0
2407	62	17
901	665	19
746	452	2
2266	28	3
2359	2922	0
1139	957	1
82	2245	1
1247	1790	8
630	587	3
2114	472	1
216	331	5
1851	91	1
2643	104	12
650	57	5
