3	62	0	28
2	23	2	3
1	1	2	12
1	24	0	21
0	12	1	2
1	8	1	30
0	55	0	74
1	22	11	56
7	25	0	56
1	30	4	74
0	31	6	177
3	3	1	6
1	57	0	15
2	8	2	121
2	31	1	53
6	2	4	16
4	20	2	16
3	20	1	5
3	33	0	6
3	43	1	19
0	38	5	11
1	41	2	44
2	4	2	33
2	16	1	3
4	6	4	15
1	10	1	28
3	32	2	14
0	44	1	5
2	6	1	8
3	6	5	65
0	29	5	10
0	5	3	78
2	30	3	9
3	5	2	89
2	27	0	3
2	16	2	58
2	7	1	118
5	0	2	11
3	6	2	76
2	49	5	26
2	1	1	16
1	13	3	6
7	28	1	14
4	5	6	14
0	1	1	18
1	23	3	40
5	41	1	12
0	32	2	4
0	88	2	24
0	8	3	18
1	1	2	22
2	27	0	1
0	61	0	47
1	2	0	32
5	6	11	37
6	5	3	1
0	25	1	4
1	18	0	87
4	60	0	37
5	41	3	29
3	4	2	17
1	12	1	47
1	16	1	10
0	11	1	64
1	3	0	54
2	46	1	5
3	25	7	41
0	51	1	3
1	39	6	20
3	46	7	110
1	90	0	170
2	177	8	5
4	32	0	106
1	2	1	1
1	7	1	29
3	7	1	4
1	28	3	9
0	50	2	86
3	17	0	75
2	25	0	4
2	18	2	94
9	25	3	39
1	21	1	94
2	11	2	29
0	4	1	56
1	3	1	14
4	3	3	68
3	14	1	10
1	31	1	33
0	2	0	13
0	5	3	50
1	10	1	51
1	39	4	8
3	68	1	46
0	2	1	11
1	62	0	25
3	11	0	6
0	18	2	2
1	34	0	6
1	10	3	2
7	1	1	9
6	5	3	17
2	28	3	81
0	84	0	72
0	21	3	74
2	58	4	33
1	16	3	27
0	67	7	74
0	15	2	40
0	6	3	4
3	28	1	12
0	8	4	86
1	12	1	0
1	100	1	8
0	35	0	4
0	17	1	29
1	5	1	73
1	23	0	8
3	51	3	51
2	25	0	32
1	53	1	16
2	35	2	55
2	13	5	11
1	4	5	21
3	23	1	39
2	10	2	0
2	106	0	137
4	20	0	1
8	3	2	54
3	18	0	25
1	63	0	27
1	0	1	4
2	13	0	20
0	10	4	4
5	32	3	53
3	13	2	31
5	0	1	10
1	2	2	11
4	124	5	12
1	76	2	52
7	7	5	25
0	8	0	36
1	13	0	49
2	25	1	47
2	9	1	2
0	5	6	30
4	12	1	27
2	10	1	25
2	2	2	21
0	4	7	75
2	20	2	68
1	3	0	40
0	2	3	19
1	23	1	30
1	40	1	10
5	43	1	26
1	45	7	9
0	8	6	28
0	13	1	19
2	35	1	104
3	48	1	1
0	19	0	35
1	25	1	1
5	17	1	69
2	30	2	11
0	14	2	41
8	127	1	19
0	71	2	10
1	42	1	5
2	15	1	38
2	13	1	5
1	12	2	39
1	11	4	24
1	10	5	13
2	33	2	17
1	86	2	33
0	46	7	128
3	3	2	12
2	17	2	79
1	19	0	23
1	31	0	11
1	53	1	17
5	19	2	58
5	32	1	60
1	6	1	24
1	22	4	3
1	21	0	19
3	22	0	3
1	35	4	17
2	21	0	6
6	56	3	77
6	29	0	16
5	9	3	75
11	3	2	19
0	2	1	35
0	19	1	24
3	32	2	59
2	0	0	7
1	87	0	10
1	39	1	30
2	0	2	6
1	47	4	23
6	10	1	64
1	26	2	9
